GEOID,white,black,hispanic,asian,white_inflow,black_inflow,hispanic_inflow,asian_inflow,Under $50K,$50K - $100K,$100K - $200K,Over $200K,Under $50K_inflow,$50K - $100K_inflow,$100K - $200K_inflow,Over $200K_inflow,Food,Shopping,Work,Health,Religious,Service,Entertainment,Grocery,Education,Arts/Museum,Transportation,Sports,Lean Democrat,Lean Republican,Other,Lean Democrat_inflow,Lean Republican_inflow,Other_inflow
482013214012,0.0156337241764377,0.004466778336125,0.979899497487437,0.0,0.0,0.0,0.0,0.0,0.5736607142857143,0.3950892857142857,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7883817427385892,0.08091286307053942,0.13070539419087138,0.0,0.0,0.0
482013214021,0.242355605889015,0.0,0.757644394110985,0.0,0.0,0.0,0.0,0.0,0.6020066889632107,0.3645484949832775,0.0334448160535117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8037135278514589,0.09814323607427056,0.09814323607427056,0.0,0.0,0.0
482013214022,0.111731843575419,0.0,0.888268156424581,0.0,0.0,0.0,0.0,0.0,0.4375,0.21875,0.25,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778175313059034,0.1252236135957066,0.09660107334525939,0.0,0.0,0.0
482013214023,0.0839103869653768,0.0,0.916089613034623,0.0,0.0,0.0,0.0,0.0,0.3744,0.2768,0.3296,0.0192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7698324022346369,0.10726256983240223,0.12290502793296089,0.0,0.0,0.0
482013215001,0.036374658987572,0.0369809033040315,0.910578963322219,0.0,0.0,0.0,0.0,0.0,0.7431578947368421,0.1768421052631578,0.0642105263157894,0.0157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8877086494688923,0.05918057663125948,0.05311077389984825,0.0,0.0,0.0
482013216001,0.0723219140837412,0.0,0.927678085916259,0.0,0.0,0.0,0.0,0.0,0.4334038054968288,0.4291754756871035,0.1247357293868921,0.0126849894291754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7416267942583732,0.16427432216905902,0.09409888357256778,0.0,0.0,0.0
482013216002,0.240990990990991,0.0,0.73536036036036,0.0157657657657658,0.0,0.0,0.0,0.0,0.3433476394849785,0.2188841201716738,0.4377682403433476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6602409638554216,0.24096385542168675,0.09879518072289156,0.0,0.0,0.0
482013216003,0.112159329140461,0.0518867924528302,0.810272536687631,0.0036687631027253,0.0,0.0,0.0,0.0,0.4615384615384615,0.3506261180679785,0.1144901610017889,0.073345259391771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6699834162520729,0.22388059701492538,0.10613598673300166,0.0,0.0,0.0
482013216004,0.103305785123967,0.0,0.862258953168044,0.0,0.0,0.0,0.0,0.0,0.3220779220779221,0.3454545454545454,0.2779220779220779,0.0545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7521246458923513,0.15864022662889518,0.08923512747875353,0.0,0.0,0.0
482013216005,0.134382566585956,0.0,0.861985472154964,0.0,0.0,0.0,0.0,0.0,0.3035714285714285,0.1785714285714285,0.5178571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7461024498886414,0.18262806236080179,0.07126948775055679,0.0,0.0,0.0
