GEOID,white,black,asian,hispanic,white_inflow,black_inflow,hispanic_inflow,asian_inflow,Under $50K,$50K - $100K,$100K - $200K,Over $200K,Under $50K_inflow,$50K - $100K_inflow,$100K - $200K_inflow,Over $200K_inflow,Food,Shopping,Work,Health,Religious,Service,Entertainment,Grocery,Education,Arts/Museum,Transportation,Sports,LATITUDE,LONGITUDE,total_population
250250512001,0.7162790697674418,0.0,0.1069767441860465,0.0883720930232558,0.4591580802522393,0.0900426117172065,0.3846680076472653,0.0661313003832888,0.2,0.33,0.4,0.07,0.4489537369063474,0.2166725788019931,0.2505331422966563,0.0838405419950033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8728013463498,0.0,0.0,42.3635386,-71.0329491,1995
250250512002,0.4909885308574549,0.0322228290551611,0.0245767340251228,0.4330966684871655,0.4353046108881957,0.0824893451947611,0.4315638821851991,0.050642161731844,0.4025604551920341,0.2859174964438122,0.2617354196301564,0.0497866287339971,0.455063201872134,0.2240496080993516,0.2483515202907934,0.072535669737721,0.0,0.0,19.151746104276043,0.0,19.151746104276043,9.575873052138022,9.575873052138022,9.575873052138022,0.0,0.0,0.0,0.0,42.3662332,-71.0322814,5469
250250512003,0.779128672745694,0.0,0.0202634245187436,0.1732522796352583,0.5129811069816134,0.0514946079997045,0.3894784639345838,0.0460458210840983,0.3244781783681214,0.2884250474383302,0.2789373814041745,0.1081593927893738,0.4264587569493794,0.2298216743716611,0.2594217530612737,0.0842978156176858,27.122543273580543,13.561271636790272,27.122543273580543,0.0,0.0,0.0,0.0,13.561271636790272,13.561271636790272,13.561271636790272,0.0,0.0,42.3653334,-71.0338717,1525
250250601011,0.9807098765432098,0.0,0.0092592592592592,0.0100308641975308,0.7584401465499059,0.1003918724567419,0.0793670313511841,0.061800949642168,0.0749464668094218,0.1199143468950749,0.5074946466809421,0.297644539614561,0.2917745442504363,0.1797849712005975,0.3298866126579388,0.1985538718910272,10.40108150927252,0.0,0.0,62.40648905563513,0.0,10.40108150927252,0.0,0.0,0.0,10.40108150927252,0.0,0.0,42.3370229,-71.0271869,1549
250250601012,0.9857328145265888,0.0,0.0,0.0142671854734111,0.7448892678993382,0.0852169649351379,0.1294908243634524,0.0404029428020716,0.093093093093093,0.2702702702702703,0.4594594594594595,0.1771771771771771,0.2926751430620622,0.1903924245003767,0.3274327116794457,0.1894997207581154,0.0,0.0,0.0,0.0,0.0,21.309514116333364,0.0,0.0,0.0,0.0,0.0,0.0,42.3336441,-71.0281344,849
250250601013,0.9238900634249472,0.0116279069767441,0.0063424947145877,0.0317124735729386,0.8203444181221992,0.0630874538203867,0.0621500349488406,0.0544180931085734,0.2579787234042553,0.151595744680851,0.351063829787234,0.2393617021276596,0.2793727634242818,0.1812258712064139,0.3378315963356017,0.2015697690337025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3348243,-71.0277312,1281
250250601014,0.9533333333333334,0.0346666666666666,0.0,0.0,0.766308521424596,0.1044971852734974,0.0846594702225238,0.0445348230793825,0.2117962466487935,0.1849865951742627,0.3297587131367292,0.2734584450402145,0.2829988024067827,0.1813483942700154,0.3437644196050965,0.1918883837181052,0.0,0.0,0.0,0.0,0.0,0.0,13.814151086158985,0.0,13.814151086158985,0.0,0.0,0.0,42.3324142,-71.0290053,637
250250602001,0.9517795637198624,0.0,0.0,0.0378874856486796,0.8413439859261307,0.0409253419985952,0.0717885544404728,0.0459421176348011,0.1293800539083558,0.2075471698113207,0.3288409703504043,0.3342318059299191,0.2440851358176946,0.1912900776505502,0.3701825532539502,0.194442233277805,0.0,0.0,0.0,0.0,14.56677495067208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.334501,-71.0317485,855
250250602002,0.9756493506493508,0.0073051948051948,0.0040584415584415,0.0129870129870129,0.7549424939686193,0.1005165077737345,0.0886470357715306,0.0558939624861153,0.2011278195488721,0.18796992481203,0.400375939849624,0.2105263157894736,0.3157156457633748,0.1693944045793272,0.344997680978876,0.1698922686784218,9.829312459356563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3312475,-71.0333083,2444
250250603011,0.8305785123966942,0.0055096418732782,0.0048209366391184,0.1219008264462809,0.763258653836409,0.0947100565037377,0.086220993691501,0.0558102959683523,0.2971428571428571,0.0928571428571428,0.4585714285714286,0.1514285714285714,0.292939717416608,0.1706227930059364,0.3454498219689169,0.1909876676085386,0.0,0.0,0.0,0.0,0.0,32.640006752626974,0.0,0.0,0.0,0.0,0.0,0.0,42.333231,-71.036691,1871
250250603012,1.0,0.0,0.0,0.0,0.8008381012823819,0.0764760978818434,0.0800864422570931,0.0425993585786817,0.2181818181818181,0.1766233766233766,0.2753246753246753,0.3298701298701298,0.2941590487850318,0.1706746532210079,0.3446494880047057,0.1905168099892546,56.09365254225693,0.0,0.0,0.0,0.0,0.0,0.0,18.69788418075231,0.0,0.0,0.0,0.0,42.330833,-71.0362514,931
250250603013,0.9548929663608564,0.0061162079510703,0.0076452599388379,0.0175840978593272,0.7655998686469961,0.0871274995689168,0.0957785389700821,0.0514940928140049,0.175632911392405,0.2136075949367088,0.4319620253164557,0.1787974683544304,0.2919793140907775,0.1759809332414299,0.34195888215954,0.1900808705082525,55.0628384176924,47.19671864373635,0.0,23.598359321868173,7.866119773956058,7.866119773956058,7.866119773956058,7.866119773956058,7.866119773956058,0.0,0.0,0.0,42.3347456,-71.0374276,2020
250250604001,0.9720624486442072,0.0,0.0,0.0279375513557929,0.7276965859853889,0.108252769854112,0.094235662017633,0.0698149821428661,0.2148148148148148,0.124074074074074,0.5,0.1611111111111111,0.2944862769650634,0.1850785355553552,0.3341699781084478,0.1862652093711335,12.120624500561265,24.24124900112253,0.0,0.0,24.24124900112253,0.0,12.120624500561265,0.0,0.0,0.0,0.0,0.0,42.3338298,-71.0428563,1841
250250604002,1.0,0.0,0.0,0.0,0.7344125878363834,0.1055400675993735,0.1075097134624978,0.0525376311017451,0.0887681159420289,0.1231884057971014,0.358695652173913,0.4293478260869565,0.3425750151966953,0.1541006973083588,0.3167930037429784,0.1865312837519674,0.0,0.0,0.0,15.98815547832049,0.0,31.97631095664098,0.0,0.0,0.0,0.0,0.0,0.0,42.332225,-71.0393789,1661
250250604003,0.9260838663823738,0.0383795309168443,0.0142146410803127,0.021321961620469,0.734797350096637,0.1101878370071406,0.0870233008221399,0.0679915120740823,0.4076923076923077,0.103076923076923,0.3538461538461538,0.1353846153846153,0.3387273868030686,0.1684507253559047,0.3273490486762022,0.1654728391648244,0.0,0.0,0.0,0.0,0.0,0.0,12.419082999299771,12.419082999299771,0.0,0.0,0.0,0.0,42.3307905,-71.040141,1784
